lat,long,city,country,lookup,temp,hum,wind,cloud,name
-79.0500012378379,-109.4277843024442,punta arenas,cl,"punta arenas,cl",46.17,70.0,16.11,40.0,"Punta Arenas, CL"
-48.69487384045194,80.16261439857936,mahebourg,mu,"mahebourg,mu",75.2,73.0,14.99,75.0,"Mahebourg, MU"
-14.225502841328364,-93.78478080343855,puerto ayora,ec,"puerto ayora,ec",71.01,87.0,4.0,9.0,"Puerto Ayora, EC"
8.335224795727214,57.95889432570726,bandarbeyla,so,"bandarbeyla,so",79.39,80.0,19.1,0.0,"Bandarbeyla, SO"
29.18939471267504,143.50220114376896,katsuura,jp,"katsuura,jp",62.96,48.0,5.82,20.0,"Katsuura, JP"
-29.13897646032806,-44.82791266914688,imbituba,br,"imbituba,br",68.0,68.0,10.29,0.0,"Imbituba, BR"
-13.186948838900776,-58.24514408911824,nova olimpia,br,"nova olimpia,br",72.23,97.0,2.71,69.0,"Nova Olimpia, BR"
30.784806482650282,10.157090742858372,nalut,ly,"nalut,ly",63.03,23.0,16.17,100.0,"Nalut, LY"
-6.011151500441187,37.90777683485027,chanika,tz,"chanika,tz",68.59,95.0,1.39,100.0,"Chanika, TZ"
1.534648864096667,16.723988983366496,ouesso,cg,"ouesso,cg",70.5,98.0,1.66,98.0,"Ouesso, CG"
15.740438667410459,-96.75029226670317,pochutla,mx,"pochutla,mx",80.37,74.0,8.08,75.0,"Pochutla, MX"
-31.481924084210718,-155.4243573468398,avera,pf,"avera,pf",,,,,
67.55921036553275,167.00656441061994,bilibino,ru,"bilibino,ru",-1.21,55.0,1.86,2.0,"Bilibino, RU"
8.759661723947204,-121.52945762545389,cabo san lucas,mx,"cabo san lucas,mx",75.07,69.0,2.1,5.0,"Cabo San Lucas, MX"
10.731212271782056,103.66525817656066,kampot,kh,"kampot,kh",85.08,55.0,5.82,20.0,"Kampot, KH"
44.09805050526998,-94.05560256344324,north mankato,us,"north mankato,us",35.35,93.0,12.75,1.0,"North Mankato, US"
-14.772025142454908,145.32243098734642,cairns,au,"cairns,au",89.98,52.0,14.99,31.0,"Cairns, AU"
-5.179419728508847,-46.07843881425865,grajau,br,"grajau,br",,,,,
74.7838969586129,-150.34630377974045,barrow,us,"barrow,us",32.16,80.0,2.37,1.0,"Barrow, US"
-73.71489270663548,-158.67050261516388,mataura,pf,"mataura,pf",,,,,
-0.5727472026318026,139.55533723232804,vanimo,pg,"vanimo,pg",84.88,69.0,9.98,73.0,"Vanimo, PG"
-62.73373778001407,-36.67582995893429,mar del plata,ar,"mar del plata,ar",58.75,30.0,23.15,92.0,"Mar del Plata, AR"
23.851671526308238,128.03312752708092,itoman,jp,"itoman,jp",76.57,57.0,16.11,40.0,"Itoman, JP"
65.85450069650807,75.26217737202992,pangody,ru,"pangody,ru",1.63,95.0,20.62,100.0,"Pangody, RU"
13.975256653996595,146.31535567769998,airai,pw,"airai,pw",,,,,
-43.39615214846335,135.15017750192584,mount gambier,au,"mount gambier,au",55.4,58.0,12.75,90.0,"Mount Gambier, AU"
-73.71414959002725,31.359305205565818,port elizabeth,za,"port elizabeth,za",60.8,100.0,5.82,40.0,"Port Elizabeth, ZA"
-3.323049013149088,152.55178458399848,namatanai,pg,"namatanai,pg",85.01,68.0,3.8,1.0,"Namatanai, PG"
-41.098112145621506,148.99889780750567,launceston,au,"launceston,au",59.2,37.0,20.8,40.0,"Launceston, AU"
-20.746352508311062,140.1298948791058,mount isa,au,"mount isa,au",95.0,8.0,8.05,85.0,"Mount Isa, AU"
-48.43244962486688,158.697854780218,tuatapere,nz,"tuatapere,nz",50.0,93.0,7.0,48.0,"Tuatapere, NZ"
-48.855381374576794,-86.63117227456088,castro,cl,"castro,cl",51.8,93.0,8.05,20.0,"Castro, CL"
69.9668098102592,84.8045044095108,dudinka,ru,"dudinka,ru",-9.4,76.0,6.71,15.0,"Dudinka, RU"
-28.81346327939572,120.57931902823634,northam,au,"northam,au",87.8,27.0,9.17,21.0,"Northam, AU"
22.38315067758124,138.82737611213088,naze,jp,"naze,jp",74.34,56.0,11.41,20.0,"Naze, JP"
-7.829932786936482,-78.71639707553727,otuzco,pe,"otuzco,pe",64.4,88.0,6.93,90.0,"Otuzco, PE"
30.229016260843693,-56.9879501548117,saint george,bm,"saint george,bm",68.22,94.0,4.7,75.0,"Saint George, BM"
73.85516405520727,-33.4204800836055,tasiilaq,gl,"tasiilaq,gl",30.2,63.0,11.41,100.0,"Tasiilaq, GL"
-28.62042883376043,-51.0493081260538,vacaria,br,"vacaria,br",57.0,99.0,4.16,0.0,"Vacaria, BR"
78.18940638860713,17.758223607458746,longyearbyen,sj,"longyearbyen,sj",33.8,74.0,19.46,90.0,"Longyearbyen, SJ"
38.603341611410684,-143.9200623970009,fortuna,us,"fortuna,us",55.47,93.0,6.93,90.0,"Fortuna, US"
-4.493965714648468,3.1284992434419223,omboue,ga,"omboue,ga",72.91,94.0,2.71,100.0,"Omboue, GA"
-39.504981513246626,133.61889467337625,port lincoln,au,"port lincoln,au",60.91,51.0,11.18,0.0,"Port Lincoln, AU"
-49.734833397295574,-29.6724193151191,cidreira,br,"cidreira,br",68.14,77.0,14.63,33.0,"Cidreira, BR"
8.586445506672746,-29.36921266573674,sao filipe,cv,"sao filipe,cv",72.34,76.0,8.5,98.0,"Sao Filipe, CV"
80.0901667932284,106.68648047685929,khatanga,ru,"khatanga,ru",-12.08,95.0,3.62,83.0,"Khatanga, RU"
-46.205407727258375,49.260980464049595,tsihombe,mg,"tsihombe,mg",,,,,
72.49605841077107,124.60670744005336,tiksi,ru,"tiksi,ru",-6.74,99.0,2.75,32.0,"Tiksi, RU"
66.83959791704143,-133.03357749012446,inuvik,ca,"inuvik,ca",-16.6,75.0,5.37,20.0,"Inuvik, CA"
42.31174223869692,-177.53332030669208,provideniya,ru,"provideniya,ru",21.36,93.0,18.34,100.0,"Provideniya, RU"
50.87341407322418,111.26962441761128,khilok,ru,"khilok,ru",9.79,52.0,3.42,5.0,"Khilok, RU"
53.909442236270365,-85.82960070991834,attawapiskat,ca,"attawapiskat,ca",,,,,
60.78606945151313,-16.636730488023915,hofn,is,"hofn,is",43.66,61.0,22.12,92.0,"Hofn, IS"
38.832864240252434,139.06770196428852,murakami,jp,"murakami,jp",52.68,87.0,5.82,75.0,"Murakami, JP"
51.988984912412235,63.24008086893767,lisakovsk,kz,"lisakovsk,kz",19.04,86.0,6.11,48.0,"Lisakovsk, KZ"
4.004390475609199,104.16675581841065,cukai,my,"cukai,my",79.83,79.0,4.7,20.0,"Cukai, MY"
46.22617176995686,-116.9380350957275,lewiston,us,"lewiston,us",43.47,93.0,1.59,90.0,"Lewiston, US"
-25.88319743737479,51.383528734565346,taolanaro,mg,"taolanaro,mg",,,,,
67.7135607556448,-123.10305498050548,norman wells,ca,"norman wells,ca",-4.0,76.0,17.22,90.0,"Norman Wells, CA"
65.17154363771863,-51.97607722538757,maniitsoq,gl,"maniitsoq,gl",30.85,66.0,16.75,100.0,"Maniitsoq, GL"
33.00392081802873,127.11776632844277,fukue,jp,"fukue,jp",62.04,51.0,5.82,20.0,"Fukue, JP"
43.67022026500291,-39.445202275625746,ribeira grande,pt,"ribeira grande,pt",58.03,66.0,1.92,51.0,"Ribeira Grande, PT"
79.309117147651,-104.71620811341027,yellowknife,ca,"yellowknife,ca",11.66,85.0,6.93,90.0,"Yellowknife, CA"
38.867674673541416,63.44171048703552,turkmenabat,tm,"turkmenabat,tm",35.6,51.0,11.41,100.0,"Turkmenabat, TM"
